Company Name,Website,Description,Industry,Role,Tier,Booth Number,LinkedIn,Twitter,Logo URL,Enriched by Apollo,Enrichment Source
Choose 2 Rent,https://choose2rent.com,"A leading provider of technology rental solutions to the events industry, offering equipment like iPads, laptops, badge printers, registration kiosks, scanners, and accessories with a focus on sustainability and service.",events services,sponsor,headline,,http://www.linkedin.com/company/choose-2-rent,https://twitter.com/choose2rent,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68f033fac8aaec0001c55cd9/picture,Yes,apollo
TransPerfect Live,https://transperfect.com,"A global provider of language and accessibility solutions for events, focusing on creating local and relevant experiences for attendees worldwide.",translation & localization,speaker,,,http://www.linkedin.com/company/transperfect,https://twitter.com/TransPerfect,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68db2bf983b5850001baa9ad/picture,Yes,apollo
Eventpack,https://eventpack.com,"A trusted technology provider managing registration processes for events, offering innovative and efficient registration solutions.",information technology & services,partner,,,http://www.linkedin.com/company/eventpackus,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68ea937a6d90450001a74de0/picture,Yes,apollo
Fenix Event Tech,,Badge printing partner integrating with Eventpack’s platform to deliver streamlined onsite experiences.,,partner,,,,,,No,event_page
IMEX Group,https://imexexhibitions.com,"Organiser of IMEX America and IMEX Frankfurt, focusing on enhancing the show experience through partnerships and innovation.",events services,attendee,,,http://www.linkedin.com/company/imex,https://twitter.com/IMEX_Group,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68f2608a33160e000152170c/picture,Yes,apollo
ExpoPlatform,https://expoplatform.com,"Official event tech provider for IMEX, offering features like free lead scanning and intuitive web platforms to support connections between buyers and exhibitors.",events services,partner,,,http://www.linkedin.com/company/expoplatform,https://twitter.com/ExpoPlatform_,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68e4f0439e04fd0001229118/picture,Yes,apollo
FFAIR,https://ffair.com,"Provider of a platform for event professionals, offering a new Accreditation Programme to enhance user skills and platform utilization.",,partner,,,,,,No,event_page
Cvent,https://cvent.com,"Market-leading meetings, events, and hospitality technology provider, offering sustainability-focused solutions like eco-badges.",information technology & services,partner,,,http://www.linkedin.com/company/cvent,http://twitter.com/cvent,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68f66712de0c09000169b03a/picture,Yes,apollo
enviricard®,,Provider of plastic-free badge solutions to help event professionals reduce waste and deliver sustainable events.,,partner,,,,,,No,event_page
4Wall,https://europe.4wall.com,Provides LED screen technology for the Main Stage visuals at Event Tech Live.,entertainment,partner,,,http://www.linkedin.com/company/4wallentertainment,https://twitter.com/4wall,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68efee50b7ed620001893ca6/picture,Yes,apollo
Braindate,https://braindate.com,Hosts a dedicated lounge for peer-to-peer conversations at Event Tech Live.,information technology & services,partner,,,http://www.linkedin.com/company/e-180,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68e91affb3d9ac0001066897/picture,Yes,apollo
Erleah,https://erleah.com,An intelligent AI-assistant enhancing the Event Tech Live experience.,,partner,,,,,,No,event_page
Eventbase,https://eventbase.com,Provides the mobile app experience for Event Tech Live.,events services,partner,,,http://www.linkedin.com/company/eventbase,http://twitter.com/@eventbasetech,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68f15a74a53d450001d534a3/picture,Yes,apollo
First Sight Media,https://firstsight.media,"Captures, streams, and preserves Event Tech Live content.",media production,partner,,,http://www.linkedin.com/company/first-sight-media,https://twitter.com/firstsightmedia,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68f44e282b20690001cb71c5/picture,Yes,apollo
Interprefy,https://interprefy.com,Provides live captions and multilingual interpretation at Event Tech Live.,information technology & services,partner,,,http://www.linkedin.com/company/interprefy,https://twitter.com/Interprefy,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68f061d13610260001a65385/picture,Yes,apollo
Komo,https://komo.tech,Powers audience engagement and sponsor ROI at Event Tech Live.,information technology & services,partner,,,http://www.linkedin.com/company/choosekomo,http://twitter.com/@playquizjam,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68f0b0422562f20001488bcd/picture,Yes,apollo
Lineup Ninja,https://lineup.ninja,Manages the conference programme and speaker schedules at Event Tech Live.,information technology & services,partner,,,http://www.linkedin.com/company/lineupninja,https://twitter.com/lineupninja,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68da0d537178790001dc10e1/picture,Yes,apollo
Memento,https://event.memento.photo,Provides an interactive photo platform for capturing event highlights at Event Tech Live.,events services,partner,,,http://www.linkedin.com/company/memento-photo,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68efc45bc4daf30001098833/picture,Yes,apollo
Novum Live,https://novumlive.com,Supplies AV equipment for stages at Event Tech Live.,events services,partner,,,http://www.linkedin.com/company/novumlive,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68f22594df04a40001f6bf2d/picture,Yes,apollo
One Tribe,https://onetribe.com,Provides sustainability expertise and a carbon calculator for Event Tech Live.,,partner,,,,https://twitter.com/1TribeCreative,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68ce89574dd2a60001a8ca73/picture,Yes,apollo
One World Rental,https://oneworldrental.co.uk,"Supplies tech equipment like laptops, iPads, and AV gear for Event Tech Live.",information technology & services,partner,,,http://www.linkedin.com/company/oneworld-rental,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,Yes,apollo
Pigeonhole,https://pigeonholelive.com,"Powers audience interaction with live Q&A, polls, and feedback at Event Tech Live.",information technology & services,partner,,,http://www.linkedin.com/company/pigeonholelive,https://twitter.com/PigeonholeLive,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68db3fa423973d0001b4b7f3/picture,Yes,apollo
PreMagic,https://premagic.com,Creates shareable social engagement posters for Event Tech Live.,information technology & services,partner,,,http://www.linkedin.com/company/premagic,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68e4f583bc3fbd0001f68b21/picture,Yes,apollo
Silent Seminars,,Supplies wireless headset systems for clear session audio at Event Tech Live.,,partner,,,,,,No,event_page
BeCause,,"The sustainability data hub for the travel and tourism industry, integrating verified sustainability information into the Cvent Supplier Network.",,partner,,,,,,No,event_page
Event Tech Live,,Europe’s only show dedicated to event technology.,,partner,,,,,,No,event_page
Event Technology Awards,,World-renowned awards scheme showcasing the very best in event technology.,,partner,,,,,,No,event_page
Event Industry News (EIN),https://www.eventindustrynews.com,Global online magazine for the event industry.,publishing,partner,,,http://www.linkedin.com/company/event-industry-news,https://twitter.com/EventNewsBlog,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68e67ee75de4f10001cc5793/picture,Yes,apollo
